X,Y,FID,OBJECTID,Year,Region,StatArea,Section,LocationCo,LocationNa,SpawnNumbe,Eastings,Northings,Longitude,Latitude,Start,End_,Length,Width,Method,SurfSI,MacroSI,UnderSI,CombinedSI,gis_date,decade,year_txt
-13870841.4743,6517731.235,4908,17784,2003,SoG,15,151,1977,Toba Inlt,131, , ,-124.603889,50.410833,20030317000000,2003-03-21,30,2,Surface,18.4658292,0,0,18.4658292,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4909,17785,2003,SoG,15,151,1977,Toba Inlt,132, , ,-124.603889,50.410833,20030317000000,2003-03-21,170,2,Surface,70.5468771,0,0,70.5468771,2003/01/02,2000s,2003
-13870841.4743,6517731.235,4910,17786,2003,SoG,15,151,1977,Toba Inlt,133, , ,-124.603889,50.410833,20030317000000,2003-03-21,372,2,Surface,154.3731664,0,0,154.3731664,2003/01/02,2000s,2003
-13799906.5797,6308865.5971,4911,17787,2003,SoG,17,172,920,Departure Bay,1, , ,-123.96667,49.2,20030318000000,2003-03-20,2100,12,Dive,0,0,61.57441496,61.57441496,2003/01/02,2000s,2003
-13799658.7826,6315067.2629,4912,17788,2003,SoG,17,172,922,Neck Pt,1, , ,-123.964444,49.236389,20030323000000,NA,1150,9,Dive,0,0,22.81717885,22.81717885,2003/01/02,2000s,2003
-13824303.6933,6328100.8853,4913,17789,2003,SoG,17,172,927,Dorcas Pt,1, , ,-124.185833,49.312778,20030323000000,NA,3400,29,Dive,0,0,396.866419,396.866419,2003/01/02,2000s,2003
-13818706.8833,6323690.7845,4914,17790,2003,SoG,17,172,928,Schooner Cv,1, , ,-124.135556,49.286944,20030323000000,NA,1960,96,Dive,0,0,284.5633083,284.5633083,2003/01/02,2000s,2003
-13796981.9941,6311124.9295,4915,17791,2003,SoG,17,172,930,Horswell Bluff,1, , ,-123.940398,49.21326,20030323000000,NA,2730,68,Dive,0,0,898.6227833,898.6227833,2003/01/02,2000s,2003
-13798823.8864,6313883.2952,4916,17792,2003,SoG,17,172,931,Hammond Bay,1, , ,-123.956944,49.229444,20030323000000,NA,2800,34,Dive,0,0,378.4619958,378.4619958,2003/01/02,2000s,2003
-13797030.4181,6309338.8822,4917,17793,2003,SoG,17,172,932,Nares Pt,1, , ,-123.940833,49.202778,20030323000000,NA,2100,59,Dive,0,0,344.4355964,344.4355964,2003/01/02,2000s,2003
-13795206.0029,6308581.6047,4918,17794,2003,SoG,17,172,933,McKay Pt,1, , ,-123.924444,49.198333,20030323000000,NA,2100,112,Dive,0,0,952.6967211,952.6967211,2003/01/02,2000s,2003
-13819858.706,6319034.8108,4919,17795,2003,SoG,17,172,995,Nanoose Bay,1, , ,-124.145903,49.259655,20030323000000,NA,3850,44,Dive,0,0,119.3174162,119.3174162,2003/01/02,2000s,2003
-13812862.61,6318619.824,4920,17796,2003,SoG,17,172,997,Blunden Pt,1, , ,-124.083056,49.257222,20030323000000,NA,3890,63,Dive,0,0,1662.778314,1662.778314,2003/01/02,2000s,2003
-13811903.9265,6317482.9369,4921,17797,2003,SoG,17,172,998,Lantzville,1, , ,-124.074444,49.250556,20030323000000,NA,2380,89,Dive,0,0,428.5959758,428.5959758,2003/01/02,2000s,2003
-13824626.4085,6320327.4899,4922,17798,2003,SoG,17,172,999,Nanoose Bay Hd,1, , ,-124.188732,49.267233,20030323000000,NA,2140,73,Dive,0,0,491.4593998,491.4593998,2003/01/02,2000s,2003
